Dataset|Attribute Name|Embeddings|Similarity Measure|Duplicates Type|Valid Pairs|Average Characters D1|Average Tokens D1|Coverage D1|Average Characters D2|Average Tokens D2|Coverage D2|Portion of Valid Pairs|CNC Precision|CNC Recall|CNC F-Measure|CNC Threshold|CNC Run-time|RSR Precision|RSR Recall|RSR F-Measure|RSR Threshold|RSR Run-time|RCA Precision|RCA Recall|RCA F-Measure|RCA Threshold|RCA Run-time|BAH Precision|BAH Recall|BAH F-Measure|BAH Threshold|BAH Run-time|BMC Precision|BMC Recall|BMC F-Measure|BMC Threshold|BMC Run-time|EXC Precision|EXC Recall|EXC F-Measure|EXC Threshold|EXC Run-time|KRC Precision|KRC Recall|KRC F-Measure|KRC Threshold|KRC Run-time|UMC Precision|UMC Recall|UMC F-Measure|UMC Threshold|UMC Run-time|BMC Configuration
IMDB-TMDB|Title|FastText|WMD|Scarce|3266468|16|3|0.24|16|3|0.43|0.11|0.000|0.000|0.000|0.000|741|0.106|0.054|0.072|0.950|1045|0.333|0.212|0.259|0.850|653|0.317|0.201|0.246|0.900|2679|0.649|0.413|0.505|0.950|190|0.890|0.417|0.568|0.900|742|0.825|0.456|0.588|0.950|1452|0.720|0.458|0.560|0.850|4257|Right
IMDB-TMDB|Title|Albert|Cosine Similarity|Scarce|2805287|16|3|0.24|16|3|0.43|0.09|0.964|0.122|0.217|0.950|29|0.380|0.162|0.227|0.950|113|0.591|0.255|0.356|0.950|663|0.330|0.209|0.256|0.800|2715|0.789|0.438|0.563|0.950|33|0.923|0.440|0.596|0.950|30|0.902|0.465|0.614|0.950|161|0.850|0.466|0.602|0.950|41|Right
IMDB-TMDB|Title|Albert|Euclidean Distance|Scarce|3266468|16|3|0.24|16|3|0.43|0.11|0.966|0.433|0.598|0.950|21|0.942|0.448|0.607|0.950|37|0.937|0.279|0.430|0.950|638|0.852|0.205|0.330|0.450|2705|0.948|0.454|0.614|0.950|27|0.959|0.452|0.614|0.950|29|0.946|0.459|0.618|0.100|242|0.937|0.461|0.618|0.100|57|Right
IMDB-TMDB|Title|Albert|WMD|Scarce|3266468|16|3|0.24|16|3|0.43|0.11|0.956|0.285|0.439|0.950|26|0.736|0.325|0.451|0.950|62|0.777|0.267|0.397|0.950|545|0.690|0.192|0.300|0.950|3151|0.898|0.447|0.597|0.950|29|0.945|0.440|0.601|0.950|35|0.934|0.455|0.612|0.950|249|0.920|0.457|0.611|0.950|60|Right
IMDB-TVDB|Title|FastText|Cosine Similarity|Scarce|2423953|16|3|0.24|18|4|0.25|0.06|0.981|0.387|0.555|0.950|21|0.859|0.394|0.540|0.950|42|0.878|0.297|0.444|0.950|607|0.441|0.136|0.208|0.750|2779|0.888|0.438|0.586|0.900|24|0.955|0.435|0.597|0.900|22|0.944|0.442|0.602|0.900|173|0.892|0.439|0.589|0.900|40|Right
IMDB-TVDB|Title|FastText|Euclidean Distance|Scarce|2430132|16|3|0.24|18|4|0.25|0.06|0.988|0.392|0.561|0.950|21|0.941|0.400|0.562|0.950|40|0.864|0.302|0.448|0.500|726|0.813|0.133|0.229|0.500|2939|0.960|0.426|0.590|0.600|27|0.963|0.435|0.599|0.500|22|0.952|0.441|0.603|0.500|129|0.911|0.438|0.592|0.500|28|Right
IMDB-TVDB|Title|FastText|WMD|Scarce|2430132|16|3|0.24|18|4|0.25|0.06|0.000|0.000|0.000|0.000|614|0.091|0.073|0.081|0.950|725|0.187|0.218|0.201|0.950|738|0.117|0.137|0.127|0.650|2945|0.270|0.315|0.291|0.950|157|0.612|0.322|0.422|0.950|439|0.504|0.424|0.461|0.950|1104|0.362|0.423|0.390|0.900|2875|Right
IMDB-TVDB|Title|Albert|Cosine Similarity|Scarce|2042242|16|3|0.24|18|4|0.25|0.05|0.908|0.092|0.168|0.950|24|0.205|0.115|0.147|0.950|80|0.394|0.255|0.309|0.950|725|0.226|0.120|0.157|0.950|2899|0.477|0.362|0.412|0.950|27|0.775|0.357|0.489|0.950|24|0.690|0.431|0.530|0.950|118|0.580|0.428|0.492|0.950|33|Right
IMDB-TVDB|Title|Albert|Euclidean Distance|Scarce|2430132|16|3|0.24|18|4|0.25|0.06|0.986|0.387|0.556|0.950|17|0.941|0.402|0.563|0.950|30|0.966|0.289|0.445|0.950|638|0.652|0.134|0.223|0.200|2981|0.970|0.420|0.586|0.950|27|0.982|0.419|0.587|0.950|24|0.981|0.424|0.592|0.950|173|0.974|0.422|0.589|0.950|37|Right
IMDB-TVDB|Title|Albert|WMD|Scarce|2430132|16|3|0.24|18|4|0.25|0.06|0.909|0.242|0.382|0.950|44|0.542|0.255|0.346|0.950|56|0.644|0.277|0.387|0.950|704|0.463|0.118|0.188|0.950|3100|0.723|0.389|0.506|0.950|24|0.857|0.369|0.516|0.950|31|0.821|0.424|0.559|0.950|185|0.783|0.422|0.548|0.950|49|Right
IMDB-TVDB|Name|FastText|Cosine Similarity|Scarce|22295400|13|2|0.76|14|2|0.74|0.56|0.759|0.299|0.429|0.950|137|0.514|0.354|0.420|0.950|204|0.441|0.239|0.310|0.950|783|0.384|0.123|0.186|0.950|2911|0.532|0.367|0.434|0.950|174|0.532|0.367|0.434|0.950|159|0.532|0.367|0.434|0.950|1166|0.536|0.369|0.437|0.950|249|Right
IMDB-TVDB|Name|FastText|Euclidean Distance|Scarce|22384140|13|2|0.76|14|2|0.74|0.56|0.762|0.299|0.430|0.450|134|0.520|0.355|0.422|0.450|202|0.437|0.241|0.310|0.450|817|0.467|0.163|0.242|0.900|2919|0.527|0.368|0.434|0.450|180|0.532|0.368|0.436|0.450|150|0.530|0.368|0.435|0.450|1153|0.535|0.367|0.435|0.500|266|Right
IMDB-TVDB|Name|FastText|WMD|Scarce|22384140|13|2|0.76|14|2|0.74|0.56|0.000|0.000|0.000|0.000|4571|0.012|0.030|0.017|0.950|7231|0.044|0.160|0.069|0.950|860|0.037|0.132|0.058|0.900|3121|0.051|0.185|0.080|0.950|1755|0.229|0.190|0.208|0.950|7091|0.203|0.363|0.260|0.950|15842|0.101|0.363|0.158|0.950|40356|Right
IMDB-TVDB|Name|Albert|Cosine Similarity|Scarce|21658825|13|2|0.76|14|2|0.74|0.54|0.444|0.004|0.007|0.950|770|0.009|0.014|0.011|0.800|7078|0.053|0.181|0.083|0.950|738|0.037|0.132|0.057|0.750|3265|0.059|0.200|0.091|0.950|286|0.278|0.214|0.242|0.950|751|0.222|0.370|0.278|0.950|2557|0.111|0.371|0.171|0.950|2085|Right
IMDB-TVDB|Name|Albert|Euclidean Distance|Scarce|22384140|13|2|0.76|14|2|0.74|0.56|0.759|0.299|0.429|0.950|124|0.523|0.357|0.424|0.900|191|0.444|0.235|0.307|0.950|689|0.382|0.140|0.205|0.350|3210|0.535|0.366|0.434|0.900|149|0.536|0.365|0.434|0.950|165|0.536|0.365|0.434|0.950|1422|0.539|0.368|0.438|0.900|220|Right
IMDB-TVDB|Name|Albert|WMD|Scarce|22384140|13|2|0.76|14|2|0.74|0.56|0.558|0.121|0.199|0.950|129|0.124|0.174|0.145|0.950|330|0.151|0.215|0.177|0.950|738|0.108|0.113|0.111|0.950|3295|0.182|0.295|0.225|0.950|166|0.344|0.272|0.304|0.950|173|0.304|0.366|0.332|0.950|1087|0.235|0.366|0.286|0.950|253|Right
TMDB-TVDB|Title|FastText|Cosine Similarity|Scarce|5012000|16|3|0.43|18|4|0.25|0.11|0.622|0.561|0.590|0.950|42|0.518|0.579|0.547|0.950|93|0.504|0.419|0.458|0.900|971|0.385|0.188|0.253|0.900|2996|0.557|0.628|0.590|0.950|44|0.633|0.618|0.626|0.950|63|0.604|0.637|0.620|0.900|368|0.553|0.624|0.586|0.950|83|Right
TMDB-TVDB|Title|FastText|Euclidean Distance|Scarce|5064069|16|3|0.43|18|4|0.25|0.11|0.651|0.567|0.606|0.950|40|0.556|0.581|0.568|0.850|89|0.542|0.399|0.460|0.950|962|0.458|0.202|0.280|0.750|3119|0.580|0.611|0.595|0.950|43|0.653|0.601|0.626|0.950|41|0.639|0.610|0.624|0.950|269|0.579|0.610|0.594|0.950|57|Right
TMDB-TVDB|Title|FastText|WMD|Scarce|5064069|16|3|0.43|18|4|0.25|0.11|0.000|0.000|0.000|0.000|1251|0.063|0.079|0.070|0.950|1379|0.145|0.219|0.174|0.950|991|0.111|0.196|0.142|0.800|3011|0.263|0.466|0.336|0.900|896|0.543|0.431|0.480|0.950|947|0.493|0.612|0.546|0.950|2504|0.346|0.613|0.442|0.900|7096|Left
TMDB-TVDB|Title|Albert|Cosine Similarity|Scarce|4276781|16|3|0.43|18|4|0.25|0.09|0.634|0.142|0.233|0.950|60|0.176|0.182|0.179|0.950|242|0.277|0.301|0.289|0.950|963|0.164|0.161|0.163|0.950|3040|0.383|0.531|0.445|0.950|68|0.604|0.500|0.547|0.950|70|0.562|0.622|0.591|0.950|360|0.460|0.624|0.529|0.950|111|Left
TMDB-TVDB|Title|Albert|Euclidean Distance|Scarce|5064069|16|3|0.43|18|4|0.25|0.11|0.647|0.562|0.601|0.950|35|0.565|0.590|0.577|0.950|67|0.546|0.398|0.460|0.950|965|0.372|0.195|0.255|0.400|3033|0.580|0.611|0.595|0.950|44|0.654|0.600|0.626|0.950|43|0.639|0.610|0.624|0.950|260|0.580|0.611|0.595|0.950|51|Right
TMDB-TVDB|Title|Albert|WMD|Scarce|5064069|16|3|0.43|18|4|0.25|0.11|0.632|0.368|0.465|0.950|44|0.412|0.410|0.411|0.950|119|0.441|0.370|0.402|0.950|825|0.277|0.167|0.208|0.950|2911|0.505|0.584|0.542|0.950|71|0.636|0.548|0.589|0.950|57|0.605|0.612|0.608|0.950|298|0.528|0.611|0.567|0.950|83|Left
TMDB-TVDB|Abstract|FastText|Cosine Similarity|Scarce|2363886|326|64|0.25|346|68|0.2|0.05|0.735|0.357|0.481|0.950|35|0.530|0.429|0.475|0.950|106|0.468|0.323|0.382|0.950|956|0.355|0.152|0.213|0.950|2991|0.513|0.511|0.512|0.950|28|0.629|0.532|0.576|0.950|36|0.592|0.539|0.564|0.950|193|0.551|0.542|0.546|0.950|56|Right
TMDB-TVDB|Abstract|FastText|Euclidean Distance|Scarce|2363886|326|64|0.25|346|68|0.2|0.05|0.640|0.517|0.572|0.750|21|0.624|0.525|0.570|0.700|66|0.634|0.347|0.449|0.750|966|0.658|0.146|0.239|0.850|2989|0.621|0.526|0.569|0.750|30|0.629|0.531|0.576|0.650|41|0.621|0.525|0.569|0.750|169|0.620|0.525|0.569|0.750|37|Left
TMDB-TVDB|Abstract|FastText|WMD|Scarce|2363886|326|64|0.25|346|68|0.2|0.05|0.000|0.000|0.000|0.000|583|0.027|0.024|0.025|0.950|842|0.211|0.220|0.215|0.950|806|0.116|0.163|0.136|0.200|2931|0.241|0.337|0.281|0.950|176|0.577|0.416|0.483|0.950|648|0.525|0.522|0.524|0.950|1651|0.373|0.522|0.435|0.950|2889|Right
TMDB-TVDB|Abstract|Albert|Cosine Similarity|Scarce|2362287|326|64|0.25|346|68|0.2|0.05|0.640|0.192|0.295|0.950|25|0.313|0.221|0.259|0.950|90|0.413|0.275|0.330|0.950|976|0.251|0.134|0.175|0.950|2989|0.458|0.422|0.439|0.950|25|0.594|0.455|0.515|0.950|29|0.581|0.497|0.536|0.950|177|0.550|0.500|0.523|0.950|43|Right
TMDB-TVDB|Abstract|Albert|Euclidean Distance|Scarce|2363886|326|64|0.25|346|68|0.2|0.05|0.621|0.481|0.542|0.150|21|0.617|0.484|0.542|0.150|41|0.630|0.314|0.419|0.150|816|0.652|0.151|0.245|0.800|2993|0.617|0.485|0.543|0.150|32|0.617|0.485|0.543|0.150|24|0.617|0.485|0.543|0.150|169|0.616|0.484|0.542|0.150|37|Right
TMDB-TVDB|Abstract|Albert|WMD|Scarce|2363886|326|64|0.25|346|68|0.2|0.05|0.599|0.402|0.481|0.950|17|0.555|0.422|0.480|0.950|36|0.600|0.307|0.406|0.950|806|0.533|0.125|0.203|0.950|2842|0.600|0.472|0.528|0.950|28|0.610|0.469|0.530|0.950|21|0.611|0.480|0.538|0.950|148|0.609|0.479|0.537|0.950|41|Left
DBLP-Scholar|Title|FastText|Cosine Similarity|One-sided|154342270|56|8|1|60|9|1|1|0.981|0.751|0.851|0.950|867|0.886|0.767|0.823|0.950|1297|0.697|0.389|0.499|0.900|2181|0.527|0.123|0.200|0.900|145901|0.914|0.897|0.906|0.900|1118|0.937|0.899|0.917|0.850|1067|0.940|0.898|0.918|0.900|8266|0.920|0.903|0.911|0.900|1441|Right
DBLP-Scholar|Title|FastText|Euclidean Distance|One-sided|154364148|56|8|1|60|9|1|1|0.983|0.759|0.856|0.600|849|0.943|0.751|0.836|0.600|1315|0.860|0.351|0.498|0.500|1714|0.587|0.155|0.245|0.450|145719|0.907|0.879|0.893|0.500|1102|0.938|0.881|0.908|0.450|1295|0.937|0.882|0.908|0.500|7681|0.915|0.887|0.901|0.500|1424|Right
DBLP-Scholar|Title|FastText|WMD|One-sided|154364148|56|8|1|60|9|1|1|0.000|0.000|0.000|0.000|80354|0.061|0.062|0.061|0.700|169340|0.260|0.283|0.271|0.400|2402|0.108|0.117|0.112|0.350|146491|0.590|0.643|0.615|0.950|11696|0.666|0.637|0.651|0.950|142902|0.630|0.649|0.640|0.950|213227|0.597|0.651|0.623|0.950|733610|Right
DBLP-Scholar|Title|Albert|Cosine Similarity|One-sided|153738496|56|8|1|60|9|1|1|0.884|0.049|0.094|0.950|1570|0.064|0.060|0.062|0.950|3774|0.670|0.682|0.676|0.950|2531|0.051|0.055|0.053|0.450|145916|0.671|0.683|0.677|0.950|1183|0.796|0.672|0.728|0.950|1584|0.727|0.695|0.711|0.950|9131|0.687|0.698|0.692|0.950|2550|Right
DBLP-Scholar|Title|Albert|Euclidean Distance|One-sided|154364148|56|8|1|60|9|1|1|0.989|0.633|0.772|0.150|849|0.959|0.632|0.762|0.200|1226|0.955|0.648|0.772|0.150|2387|0.782|0.050|0.094|0.950|150025|0.956|0.654|0.777|0.150|1113|0.979|0.652|0.783|0.150|980|0.977|0.654|0.783|0.150|7583|0.953|0.652|0.774|0.150|1411|Right
DBLP-Scholar|Title|Albert|WMD|One-sided|154364148|56|8|1|60|9|1|1|0.874|0.258|0.398|0.950|882|0.325|0.272|0.296|0.950|1557|0.723|0.633|0.675|0.950|2045|0.197|0.048|0.077|0.950|151492|0.726|0.637|0.679|0.950|970|0.774|0.630|0.695|0.950|1107|0.751|0.639|0.690|0.950|8513|0.730|0.640|0.682|0.950|1782|Right
Movies|Title|FastText|Cosine Similarity|Balanced|378388014|18|3|1|24|6|1|0.59|0.990|0.257|0.408|0.850|2249|0.871|0.288|0.433|0.850|3529|0.623|0.253|0.360|0.750|25828|0.718|0.319|0.442|0.750|128015|0.765|0.387|0.514|0.750|2942|0.946|0.352|0.513|0.750|3124|0.870|0.463|0.604|0.600|36860|0.751|0.486|0.590|0.650|11199|Right
Movies|Title|FastText|Euclidean Distance|Balanced|378631606|18|3|1|24|6|1|0.59|0.982|0.063|0.118|0.550|2393|0.547|0.105|0.176|0.450|6877|0.404|0.112|0.176|0.400|23999|0.529|0.377|0.440|0.100|129658|0.559|0.393|0.462|0.150|75871|0.932|0.129|0.226|0.400|6497|0.833|0.442|0.577|0.050|692383|0.639|0.456|0.532|0.100|2719287|Right